municipio,Planaltina,Novo Gama,Luziania,Formosa,Cristalina,Cocalzinho de Goias
ind_3117,"6,281669221467948","5,260558359986128","5,6319831300297905","6,348599235554482","4,682018704782072","4,53145986568596"
ind_3127,"2,703087659833763","1,3594081152942081","0,9017639829961411","3,679243492290834","1,5286747838362449","0,0"
ind_3141,"68,89242223724423","9,282879272475048","18,87686547537644","45,366994245088485","24,813513643582464","20,11672529581068"
ind_3033,0,0,0,0,0,0
ind_3020,"2,660982569532781","12,929121524605142","2,7159748267751573","0,2680725583057814","3,116883116883117","12,038303693570452"
ind_4041,2,3,3,5,10,3
ind_4045,1,2,2,1,2,1
ind_3040,3,3,3,3,3,3
ind_3041,11,7,8,7,5,5
ind_4035,"14,305952369897396","10,716631902432534","10,552324935572713","9,548919918382026","13,511403018770181","10,133702071030536"
ind_4036,"116,90331074715971","129,6235812852127","119,64402085369828","113,73531659291643","150,95783811366488","148,67337602927722"
ind_3021,"16,982656418796577","11,614068751530986","11,756448280458567","11,419251964115174","16,00713618871082","13,358250852532649"
ind_3022,"0,0","0,0","0,0","0,0","0,0","0,0"
ind_3134,"6,0","7,0","1,0","10,0","10,0","6,0"
ind_4024,6,4,5,0,4,0
ind_4025,0,0,7,0,0,0
ind_4032,0,0,6,0,0,0
ind_4033,0,0,5,0,0,0
ind_3027,"0,0","0,0","0,0","0,0","0,0","0,0057182067703568165"
ind_3122,0,0,0,0,0,"63,4"
ind_3004,0,0,0,0,0,0
ind_3016,"0,0","3,0","4,0","2,0","10,0","0,0"
ind_4010,"4,0","1,0","0,0","3,0","4,0","3,0"
ind_4012,"0,0","0,0","0,0","0,0","3,0","0,0"
ind_3049,"0,0","1,0","1,0","2,0","2,0","1,0"
ind_3076,"0,0","1,0","0,0","1,0","2,0","3,0"
ind_3124,8,9,9,8,6,9
ind_4011,"0,0","0,0","3,0","1,0","1,0","0,0"
ind_4031,1,0,0,0,0,0
ind_4046,0,0,0,2,0,0
ind_4005,"0,0","0,0","0,0","0,0","0,0","0,0"
ind_3024,"-5003,648219950653","-2519,8571428571427","-1861,8224898805408","-6738,748419721871","-3796,533864541832","-0,0"
ind_3028,"-23,561552479579333","-28,096306411895714","-23,561237695612327","-23,561802453313106","-23,56143919841543","-23,564365217691837"
ind_3042,"0,0","4,0","0,0","0,0","5,0","4,0"
ind_4047,"0,0","0,0","0,0","0,0","0,0",None
ind_4030,5,8,8,11,10,9
ind_3043,"0,0","6,0","0,0","0,0","9,0","1,0"
ind_3069,"0,0","1,0","0,0","0,0","1,0","1,0"
ind_3056,"0,0","0,0","0,0","0,0","0,0","0,0"
ind_3113,"0,0","0,0","0,0","3,0","3,0","0,0"
ind_4007,"0,0","0,0","0,0","0,0","0,0","0,0"
ind_4014,"0,0","2,0","0,0","0,0","0,0","1,0"
ind_3077,14,12,23,17,15,6
ind_3107,0,5,4,5,5,0
ind_3123,"6,0","3,0","4,0","6,0","3,0","0,0"
ind_4040,"4,0","6,0","5,0","5,0","2,0","1,0"
ind_3003,"36,95652173913043","31,954887218045116","42,40362811791383","33,74384236453202","49,45054945054945","53,06122448979592"
ind_3011,"9,8","7,3","8,0","8,6","8,7","12,9"
ind_3086,0,0,0,0,0,0
ind_3115,"0,0","859,3941373397566","1468,8212772890192","3545,343071919817","1828,5033912359406","0,0"
ind_4006,"3,0","5,0","0,0","0,0","4,0","2,0"
ind_4020,1,0,1,1,2,0
ind_4034,"22,85","22,950000000000003","19,25","14,95","15,1","17,0"
ind_4037,"86,95652173913044","86,8421052631579","98,4126984126984","86,20689655172413","100,0","100,0"
ind_4048,"3219,068681656223","646,8949044585987","1746,4246424642463","1441,820590756761","2273,5837206381107","2884,9621348719797"
ind_3007,"3,0","6,0","0,0","7,0","0,0","0,0"
ind_4042,5,1,2,4,0,1
ind_3039,4,5,0,7,0,7
ind_4039,"3,0","3,0","0,0","1,0","2,0","3,0"
ind_4043,0,8,0,0,0,0
ind_4044,0,2,2,3,2,3
ind_3103,"13,0","16,0","7,0","16,0","5,0","16,0"
ind_3147,"3,0","5,0","1,0","5,0","1,0","4,0"
ind_3006,"0,0","3,0","0,0","0,0","3,0","2,0"
ind_3095,"85,12376996152406","11,227239323916061","108,44330400782013","158,1631746370244","116,93917036974041","125,80054894784996"
ind_3096,"110,77439930992998","73,6915162897036","133,64491691104595","192,1949138988111","176,2592222482087","192,13174748398902"
ind_3125,"3,0","2,0","0,0","1,0","2,0","2,0"
ind_4004,"0,0","0,0","0,0","0,0","0,0","5,0"
ind_4021,"0,22844827586206898","0,2318672839506173","0,24545454545454545","0,18424317617866004","0,15257731958762888","0,17567567567567569"
ind_3048,"1,0","3,0","0,0","2,0","2,0","0,0"
ind_4016,"47,82","34,57","35,53","34,53","54,24","14,82"
ind_4017,3,3,3,5,3,5
